ORGANIZATION,PROGRAM,DESCRIPTION,YTD AMOUNT,QTD AMOUNT                                                                                                                                                                                                    
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,TELECOMMUNICATIONS,SUPPLIES AND MATERIALS,329.4,0
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,TELECOMMUNICATIONS,EQUIPMENT,750978.05,314526.45
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,TELECOMMUNICATIONS,TELECOMMUNICATIONS TOTALS:,1232220.69,502849.99
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,NETWORK SERVICES,OTHER SERVICES,535897.07,113018.92
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,NETWORK SERVICES,SUPPLIES AND MATERIALS,653167.31,38
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,NETWORK SERVICES,EQUIPMENT,3507339.18,376014.49
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,NETWORK SERVICES,NETWORK SERVICES TOTALS:,4696403.56,489071.41
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,WIDE AREA NETWORK,RENT  COMMUNICATION  UTILITIES,794418.34,284708.62
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,WIDE AREA NETWORK,OTHER SERVICES,168678.19,38911.07
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,WIDE AREA NETWORK,SUPPLIES AND MATERIALS,24644.64,23574.6
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,WIDE AREA NETWORK,EQUIPMENT,185802.43,61344.62
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,WIDE AREA NETWORK,WIDE AREA NETWORK TOTALS:,1173543.6,408538.91
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,CAMPUS NETWORKING,OTHER SERVICES,477076.44,184685.98
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,CAMPUS NETWORKING,SUPPLIES AND MATERIALS,8235.2,1484
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,CAMPUS NETWORKING,EQUIPMENT,40516.47,16413.73
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,CAMPUS NETWORKING,CAMPUS NETWORKING TOTALS:,525828.11,202583.71
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,CARPET SERVICES,TRANSPORTATION OF THINGS,214.11,214.11
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,CARPET SERVICES,OTHER SERVICES,9362.39,5363.2
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,CARPET SERVICES,SUPPLIES AND MATERIALS,16346.74,3275.15
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,CARPET SERVICES,EQUIPMENT,205506.7,43183.62
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,CARPET SERVICES,CARPET SERVICES TOTALS:,231429.94,52036.08
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,DRAPERY & UPHOLSTERY SERVICES,OTHER SERVICES,278.5,278.5
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,DRAPERY & UPHOLSTERY SERVICES,SUPPLIES AND MATERIALS,56411.78,36973.08
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,DRAPERY & UPHOLSTERY SERVICES,EQUIPMENT,44194.81,14741.31
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,DRAPERY & UPHOLSTERY SERVICES,DRAPERY & UPHOLSTERY SERVICES TOTALS:,100885.09,51992.89
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,FINISH SCHEDULE,SUPPLIES AND MATERIALS,18470.02,7750.61
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,FINISH SCHEDULE,EQUIPMENT,80637.73,44003.05
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,FINISH SCHEDULE,FINISH SCHEDULE TOTALS:,99107.75,51753.66
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,CENTRAL WAREHOUSE/RCVG INIT,OTHER SERVICES,68891,68891
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,CENTRAL WAREHOUSE/RCVG INIT,CENTRAL WAREHOUSE/RCVG INIT TOTALS:,68891,68891
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,BENEFITS AND COMPENSATION,OTHER SERVICES,1200,0
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,BENEFITS AND COMPENSATION,EQUIPMENT,508483.41,0
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,BENEFITS AND COMPENSATION,BENEFITS AND COMPENSATION TOTALS:,509683.41,0
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,ACCESS INFO SYST TECH SERVICES,SUPPLIES AND MATERIALS,1801.83,0
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,ACCESS INFO SYST TECH SERVICES,EQUIPMENT,179459.94,0
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,ACCESS INFO SYST TECH SERVICES,ACCESS INFO SYST TECH SERVICES TOTALS:,181261.77,0
FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,ACCESS INFO SYST TECH SERVICES,OFFICE TOTALS:,96224984.54,34091480.21
FISCAL YEAR 2024 WHISTLEBLOWER OMBUDS,SALARIES  OFFICERS & EMPLOYEES,PERSONNEL COMPENSATION,553994.96,186328.23
FISCAL YEAR 2024 WHISTLEBLOWER OMBUDS,SALARIES  OFFICERS & EMPLOYEES,SALARIES  OFFICERS & EMPLOYEES TOTALS:,553994.96,186328.23
FISCAL YEAR 2024 WHISTLEBLOWER OMBUDS,ADMIN AND OPS,TRAVEL,6254.58,3890.7
FISCAL YEAR 2024 WHISTLEBLOWER OMBUDS,ADMIN AND OPS,RENT  COMMUNICATION  UTILITIES,16056.21,4592.43
FISCAL YEAR 2024 WHISTLEBLOWER OMBUDS,ADMIN AND OPS,PRINTING AND REPRODUCTION,36430.92,9573.47
FISCAL YEAR 2024 WHISTLEBLOWER OMBUDS,ADMIN AND OPS,OTHER SERVICES,23405,12635
FISCAL YEAR 2024 WHISTLEBLOWER OMBUDS,ADMIN AND OPS,SUPPLIES AND MATERIALS,16191.32,4165.08
FISCAL YEAR 2024 WHISTLEBLOWER OMBUDS,ADMIN AND OPS,ADMIN AND OPS TOTALS:,98338.03,34856.68
FISCAL YEAR 2024 WHISTLEBLOWER OMBUDS,ADMIN AND OPS,OFFICE TOTALS:,652332.99,221184.91
FISCAL YEAR 2024 CLERK OF THE HOUSE,SALARIES  OFFICERS & EMPLOYEES,PERSONNEL COMPENSATION,21082797.36,7149626.07
FISCAL YEAR 2024 CLERK OF THE HOUSE,SALARIES  OFFICERS & EMPLOYEES,TRAVEL,40120.54,23764.85
FISCAL YEAR 2024 CLERK OF THE HOUSE,SALARIES  OFFICERS & EMPLOYEES,RENT  COMMUNICATION  UTILITIES,138009.81,52097.04
FISCAL YEAR 2024 CLERK OF THE HOUSE,SALARIES  OFFICERS & EMPLOYEES,PRINTING AND REPRODUCTION,2071.29,1437.42
FISCAL YEAR 2024 CLERK OF THE HOUSE,SALARIES  OFFICERS & EMPLOYEES,OTHER SERVICES,32310.7,26160.2
FISCAL YEAR 2024 CLERK OF THE HOUSE,SALARIES  OFFICERS & EMPLOYEES,SUPPLIES AND MATERIALS,294552,186967.49
FISCAL YEAR 2024 CLERK OF THE HOUSE,SALARIES  OFFICERS & EMPLOYEES,EQUIPMENT,38016.74,9041.91
FISCAL YEAR 2024 CLERK OF THE HOUSE,SALARIES  OFFICERS & EMPLOYEES,SALARIES  OFFICERS & EMPLOYEES TOTALS:,21627878.44,7449094.98
FISCAL YEAR 2024 CLERK OF THE HOUSE,FAMILY ROOM,SUPPLIES AND MATERIALS,9173.18,9130.78
FISCAL YEAR 2024 CLERK OF THE HOUSE,FAMILY ROOM,FAMILY ROOM TOTALS:,9173.18,9130.78
FISCAL YEAR 2024 CLERK OF THE HOUSE,RECEPTIONS,SUPPLIES AND MATERIALS,1534.35,1534.35
FISCAL YEAR 2024 CLERK OF THE HOUSE,RECEPTIONS,RECEPTIONS TOTALS:,1534.35,1534.35
FISCAL YEAR 2024 CLERK OF THE HOUSE,RECEPTIONS,OFFICE TOTALS:,21638585.97,7459760.11
FISCAL YEAR 2024 OFFICE OF GENERAL COUNSEL,SALARIES  OFFICERS & EMPLOYEES,PERSONNEL COMPENSATION,1203598.91,400018.36
FISCAL YEAR 2024 OFFICE OF GENERAL COUNSEL,SALARIES  OFFICERS & EMPLOYEES,TRAVEL,2031.1,0
FISCAL YEAR 2024 OFFICE OF GENERAL COUNSEL,SALARIES  OFFICERS & EMPLOYEES,RENT  COMMUNICATION  UTILITIES,6880.37,2636.43
FISCAL YEAR 2024 OFFICE OF GENERAL COUNSEL,SALARIES  OFFICERS & EMPLOYEES,PRINTING AND REPRODUCTION,6245.8,49.5
FISCAL YEAR 2024 OFFICE OF GENERAL COUNSEL,SALARIES  OFFICERS & EMPLOYEES,OTHER SERVICES,22277.08,6750
FISCAL YEAR 2024 OFFICE OF GENERAL COUNSEL,SALARIES  OFFICERS & EMPLOYEES,SUPPLIES AND MATERIALS,14395.85,2859.58
FISCAL YEAR 2024 OFFICE OF GENERAL COUNSEL,SALARIES  OFFICERS & EMPLOYEES,EQUIPMENT,3567.51,2749.11
FISCAL YEAR 2024 OFFICE OF GENERAL COUNSEL,SALARIES  OFFICERS & EMPLOYEES,SALARIES  OFFICERS & EMPLOYEES TOTALS:,1258996.62,415062.98
FISCAL YEAR 2024 OFFICE OF GENERAL COUNSEL,SALARIES  OFFICERS & EMPLOYEES,OFFICE TOTALS:,1258996.62,415062.98
FISCAL YEAR 2024 SERGEANT AT ARMS,PERSONNEL,PERSONNEL COMPENSATION,12195744.11,4124294.58
FISCAL YEAR 2024 SERGEANT AT ARMS,PERSONNEL,PERSONNEL TOTALS:,12195744.11,4124294.58
FISCAL YEAR 2024 SERGEANT AT ARMS,RECEPTIONS,SUPPLIES AND MATERIALS,1381.95,0
FISCAL YEAR 2024 SERGEANT AT ARMS,RECEPTIONS,RECEPTIONS TOTALS:,1381.95,0
FISCAL YEAR 2024 SERGEANT AT ARMS,RECEPTIONS,OFFICE TOTALS:,12197126.06,4124294.58
FISCAL YEAR 2024 OFFICE OF THE PARLIAMENTARIAN,SALARIES  OFFICERS & EMPLOYEES,PERSONNEL COMPENSATION,1126149.95,387549.99
FISCAL YEAR 2024 OFFICE OF THE PARLIAMENTARIAN,SALARIES  OFFICERS & EMPLOYEES,RENT  COMMUNICATION  UTILITIES,23807.87,8826.48
FISCAL YEAR 2024 OFFICE OF THE PARLIAMENTARIAN,SALARIES  OFFICERS & EMPLOYEES,PRINTING AND REPRODUCTION,85.5,76
FISCAL YEAR 2024 OFFICE OF THE PARLIAMENTARIAN,SALARIES  OFFICERS & EMPLOYEES,OTHER SERVICES,1092,0
FISCAL YEAR 2024 OFFICE OF THE PARLIAMENTARIAN,SALARIES  OFFICERS & EMPLOYEES,SUPPLIES AND MATERIALS,905.79,108.5
FISCAL YEAR 2024 OFFICE OF THE PARLIAMENTARIAN,SALARIES  OFFICERS & EMPLOYEES,EQUIPMENT,3528,1176
FISCAL YEAR 2024 OFFICE OF THE PARLIAMENTARIAN,SALARIES  OFFICERS & EMPLOYEES,SALARIES  OFFICERS & EMPLOYEES TOTALS:,1155569.11,397736.97
FISCAL YEAR 2024 OFFICE OF THE PARLIAMENTARIAN,SALARIES  OFFICERS & EMPLOYEES,OFFICE TOTALS:,1155569.11,397736.97
FISCAL YEAR 2024 COMPILATION OF PRECEDENTS,SALARIES  OFFICERS & EMPLOYEES,PERSONNEL COMPENSATION,305249.94,102749.97
FISCAL YEAR 2024 COMPILATION OF PRECEDENTS,SALARIES  OFFICERS & EMPLOYEES,SALARIES  OFFICERS & EMPLOYEES TOTALS:,305249.94,102749.97
FISCAL YEAR 2024 COMPILATION OF PRECEDENTS,SALARIES  OFFICERS & EMPLOYEES,OFFICE TOTALS:,305249.94,102749.97
FISCAL YEAR 2024 TECHNICAL ASSISTANTS,SALARIES  OFFICERS & EMPLOYEES,PERSONNEL COMPENSATION,581500.06,210500.02
FISCAL YEAR 2024 TECHNICAL ASSISTANTS,SALARIES  OFFICERS & EMPLOYEES,SALARIES  OFFICERS & EMPLOYEES TOTALS:,581500.06,210500.02
FISCAL YEAR 2024 TECHNICAL ASSISTANTS,SALARIES  OFFICERS & EMPLOYEES,OFFICE TOTALS:,581500.06,210500.02
FISCAL YEAR 2024 OFFICE OF INSPECTOR GENERAL,TRAINING  PERSONNEL & DEVELOP,OTHER SERVICES,16012.19,12043.23
FISCAL YEAR 2024 OFFICE OF INSPECTOR GENERAL,TRAINING  PERSONNEL & DEVELOP,TRAINING  PERSONNEL & DEVELOP TOTALS:,16012.19,12043.23
FISCAL YEAR 2024 OFFICE OF INSPECTOR GENERAL,ADMIN AND OPS,PERSONNEL COMPENSATION,368302.73,119790.28
FISCAL YEAR 2024 OFFICE OF INSPECTOR GENERAL,ADMIN AND OPS,RENT  COMMUNICATION  UTILITIES,12519.07,4611.04
FISCAL YEAR 2024 OFFICE OF INSPECTOR GENERAL,ADMIN AND OPS,PRINTING AND REPRODUCTION,109.4,38
FISCAL YEAR 2024 OFFICE OF INSPECTOR GENERAL,ADMIN AND OPS,OTHER SERVICES,60699.6,19192
FISCAL YEAR 2024 OFFICE OF INSPECTOR GENERAL,ADMIN AND OPS,SUPPLIES AND MATERIALS,1154.6,422.85
FISCAL YEAR 2024 OFFICE OF INSPECTOR GENERAL,ADMIN AND OPS,EQUIPMENT,3348,1116
FISCAL YEAR 2024 OFFICE OF INSPECTOR GENERAL,ADMIN AND OPS,ADMIN AND OPS TOTALS:,446133.4,145170.17
FISCAL YEAR 2024 OFFICE OF INSPECTOR GENERAL,AUDIT  ADVISORY  INVESTIGATION,PERSONNEL COMPENSATION,2619510.93,841000.94
FISCAL YEAR 2024 OFFICE OF INSPECTOR GENERAL,AUDIT  ADVISORY  INVESTIGATION,PRINTING AND REPRODUCTION,680,0
FISCAL YEAR 2024 OFFICE OF INSPECTOR GENERAL,AUDIT  ADVISORY  INVESTIGATION,SUPPLIES AND MATERIALS,44362.95,18742.5
FISCAL YEAR 2024 OFFICE OF INSPECTOR GENERAL,AUDIT  ADVISORY  INVESTIGATION,EQUIPMENT,26456.7,26456.7
FISCAL YEAR 2024 OFFICE OF INSPECTOR GENERAL,AUDIT  ADVISORY  INVESTIGATION,AUDIT  ADVISORY  INVESTIGATION TOTALS:,2691010.58,886200.14
FISCAL YEAR 2024 OFFICE OF INSPECTOR GENERAL,AUDIT  ADVISORY  INVESTIGATION,OFFICE TOTALS:,3153156.17,1043413.54
FISCAL YEAR 2024 DIVERSITY & INCLUSION,SALARIES  OFFICERS & EMPLOYEES,PERSONNEL COMPENSATION,551143.98,0
FISCAL YEAR 2024 DIVERSITY & INCLUSION,SALARIES  OFFICERS & EMPLOYEES,SUPPLIES AND MATERIALS,158.34,0
FISCAL YEAR 2024 DIVERSITY & INCLUSION,SALARIES  OFFICERS & EMPLOYEES,SALARIES  OFFICERS & EMPLOYEES TOTALS:,551302.32,0
FISCAL YEAR 2024 DIVERSITY & INCLUSION,ADMIN AND OPS,TRAVEL,24526.52,742.25
FISCAL YEAR 2024 DIVERSITY & INCLUSION,ADMIN AND OPS,RENT  COMMUNICATION  UTILITIES,12516.52,579.51
FISCAL YEAR 2024 DIVERSITY & INCLUSION,ADMIN AND OPS,PRINTING AND REPRODUCTION,886.61,0
FISCAL YEAR 2024 DIVERSITY & INCLUSION,ADMIN AND OPS,OTHER SERVICES,30221.43,31.99
FISCAL YEAR 2024 DIVERSITY & INCLUSION,ADMIN AND OPS,SUPPLIES AND MATERIALS,16708.27,1074.28
FISCAL YEAR 2024 DIVERSITY & INCLUSION,ADMIN AND OPS,EQUIPMENT,685.82,0
FISCAL YEAR 2024 DIVERSITY & INCLUSION,ADMIN AND OPS,ADMIN AND OPS TOTALS:,85545.17,2428.03
FISCAL YEAR 2024 DIVERSITY & INCLUSION,ADMIN AND OPS,OFFICE TOTALS:,636847.49,2428.03
FISCAL YEAR 2024 LAW REVISION COUNSEL,ADMIN AND OPS,RENT  COMMUNICATION  UTILITIES,4163.18,1755.1
FISCAL YEAR 2024 LAW REVISION COUNSEL,ADMIN AND OPS,PRINTING AND REPRODUCTION,89.5,89.5
FISCAL YEAR 2024 LAW REVISION COUNSEL,ADMIN AND OPS,OTHER SERVICES,178227,177732
FISCAL YEAR 2024 LAW REVISION COUNSEL,ADMIN AND OPS,SUPPLIES AND MATERIALS,18284.7,4312
FISCAL YEAR 2024 LAW REVISION COUNSEL,ADMIN AND OPS,EQUIPMENT,33019.52,19317.88
FISCAL YEAR 2024 LAW REVISION COUNSEL,ADMIN AND OPS,ADMIN AND OPS TOTALS:,233783.9,203206.48
FISCAL YEAR 2024 LAW REVISION COUNSEL,USC CODIFICATION & MAINTENANCE,PERSONNEL COMPENSATION,1679922.27,581788.93
FISCAL YEAR 2024 LAW REVISION COUNSEL,USC CODIFICATION & MAINTENANCE,USC CODIFICATION & MAINTENANCE TOTALS:,1679922.27,581788.93
FISCAL YEAR 2024 LAW REVISION COUNSEL,USC CODIFICATION & MAINTENANCE,OFFICE TOTALS:,1913706.17,784995.41
FISCAL YEAR 2024 LEGISLATIVE COUNSEL,ADMIN AND OPS,RENT  COMMUNICATION  UTILITIES,49991.38,18553.84
FISCAL YEAR 2024 LEGISLATIVE COUNSEL,ADMIN AND OPS,SUPPLIES AND MATERIALS,24975.17,317.71
FISCAL YEAR 2024 LEGISLATIVE COUNSEL,ADMIN AND OPS,EQUIPMENT,226408.69,217401.75
FISCAL YEAR 2024 LEGISLATIVE COUNSEL,ADMIN AND OPS,ADMIN AND OPS TOTALS:,301375.24,236273.3
FISCAL YEAR 2024 LEGISLATIVE COUNSEL,DRAFTING LEGISLATION,PERSONNEL COMPENSATION,8406315.78,3198207.15
FISCAL YEAR 2024 LEGISLATIVE COUNSEL,DRAFTING LEGISLATION,DRAFTING LEGISLATION TOTALS:,8406315.78,3198207.15
FISCAL YEAR 2024 LEGISLATIVE COUNSEL,DRAFTING LEGISLATION,OFFICE TOTALS:,8707691.02,3434480.45
FISCAL YEAR 2024 INTERPARLIAMENTARY AFFAIRS,SALARIES  OFFICERS & EMPLOYEES,PERSONNEL COMPENSATION,492281.95,169087.5
FISCAL YEAR 2024 INTERPARLIAMENTARY AFFAIRS,SALARIES  OFFICERS & EMPLOYEES,TRAVEL,3119,245.15
FISCAL YEAR 2024 INTERPARLIAMENTARY AFFAIRS,SALARIES  OFFICERS & EMPLOYEES,RENT  COMMUNICATION  UTILITIES,9004.76,3300.05
FISCAL YEAR 2024 INTERPARLIAMENTARY AFFAIRS,SALARIES  OFFICERS & EMPLOYEES,PRINTING AND REPRODUCTION,1216.25,347.25
FISCAL YEAR 2024 INTERPARLIAMENTARY AFFAIRS,SALARIES  OFFICERS & EMPLOYEES,OTHER SERVICES,5403.75,2000
FISCAL YEAR 2024 INTERPARLIAMENTARY AFFAIRS,SALARIES  OFFICERS & EMPLOYEES,SUPPLIES AND MATERIALS,109281.08,103170.82
FISCAL YEAR 2024 INTERPARLIAMENTARY AFFAIRS,SALARIES  OFFICERS & EMPLOYEES,EQUIPMENT,6738.9,1899
FISCAL YEAR 2024 INTERPARLIAMENTARY AFFAIRS,SALARIES  OFFICERS & EMPLOYEES,SALARIES  OFFICERS & EMPLOYEES TOTALS:,627045.69,280049.77
FISCAL YEAR 2024 INTERPARLIAMENTARY AFFAIRS,SALARIES  OFFICERS & EMPLOYEES,OFFICE TOTALS:,627045.69,280049.77
FISCAL YEAR 2024 HOUSE RECORDING STUDIO,HRS FIELD HEARING,TRAVEL,22141.26,21316.62
FISCAL YEAR 2024 HOUSE RECORDING STUDIO,HRS FIELD HEARING,TRANSPORTATION OF THINGS,4680.47,4680.47
FISCAL YEAR 2024 HOUSE RECORDING STUDIO,HRS FIELD HEARING,OTHER SERVICES,16.84,16.84
FISCAL YEAR 2024 HOUSE RECORDING STUDIO,HRS FIELD HEARING,SUPPLIES AND MATERIALS,6114.53,6114.53
FISCAL YEAR 2024 HOUSE RECORDING STUDIO,HRS FIELD HEARING,EQUIPMENT,7914.05,7914.05
FISCAL YEAR 2024 HOUSE RECORDING STUDIO,HRS FIELD HEARING,HRS FIELD HEARING TOTALS:,40867.15,40042.51
FISCAL YEAR 2024 HOUSE RECORDING STUDIO,HRS COMMITTEE BROADCAST OPS,OTHER SERVICES,188300,0
FISCAL YEAR 2024 HOUSE RECORDING STUDIO,HRS COMMITTEE BROADCAST OPS,EQUIPMENT,2696.9,0
FISCAL YEAR 2024 HOUSE RECORDING STUDIO,HRS COMMITTEE BROADCAST OPS,HRS COMMITTEE BROADCAST OPS TOTALS:,190996.9,0
FISCAL YEAR 2024 HOUSE RECORDING STUDIO,HRS FLOOR COVERAGE,OTHER SERVICES,10372.59,10372.59
FISCAL YEAR 2024 HOUSE RECORDING STUDIO,HRS FLOOR COVERAGE,SUPPLIES AND MATERIALS,2469,12.99
FISCAL YEAR 2024 HOUSE RECORDING STUDIO,HRS FLOOR COVERAGE,EQUIPMENT,118759.4,48959.4
FISCAL YEAR 2024 HOUSE RECORDING STUDIO,HRS FLOOR COVERAGE,HRS FLOOR COVERAGE TOTALS:,131600.99,59344.98
FISCAL YEAR 2024 HOUSE RECORDING STUDIO,HOUSE RECORDING STUDIO OPS,SUPPLIES AND MATERIALS,5083.64,1182.76
FISCAL YEAR 2024 HOUSE RECORDING STUDIO,HOUSE RECORDING STUDIO OPS,EQUIPMENT,68170.26,1520.14
FISCAL YEAR 2024 HOUSE RECORDING STUDIO,HOUSE RECORDING STUDIO OPS,HOUSE RECORDING STUDIO OPS TOTALS:,73253.9,2702.9
FISCAL YEAR 2024 HOUSE RECORDING STUDIO,EVENT ROOM AV,OTHER SERVICES,7735,7735
FISCAL YEAR 2024 HOUSE RECORDING STUDIO,EVENT ROOM AV,SUPPLIES AND MATERIALS,3080.86,3080.86
FISCAL YEAR 2024 HOUSE RECORDING STUDIO,EVENT ROOM AV,EVENT ROOM AV TOTALS:,10815.86,10815.86
FISCAL YEAR 2024 HOUSE RECORDING STUDIO,EVENT ROOM AV,OFFICE TOTALS:,447534.8,112906.25
FISCAL YEAR 2024 CLERK OF THE HOUSE,SALARIES  OFFICERS & EMPLOYEES,PERSONNEL COMPENSATION,17550.01,17550.01
FISCAL YEAR 2024 CLERK OF THE HOUSE,SALARIES  OFFICERS & EMPLOYEES,TRAVEL,1777.95,0
FISCAL YEAR 2024 CLERK OF THE HOUSE,SALARIES  OFFICERS & EMPLOYEES,RENT  COMMUNICATION  UTILITIES,435.46,117.41
FISCAL YEAR 2024 CLERK OF THE HOUSE,SALARIES  OFFICERS & EMPLOYEES,OTHER SERVICES,1700934.09,838342.45
FISCAL YEAR 2024 CLERK OF THE HOUSE,SALARIES  OFFICERS & EMPLOYEES,SUPPLIES AND MATERIALS,47861.33,9547.28
FISCAL YEAR 2024 CLERK OF THE HOUSE,SALARIES  OFFICERS & EMPLOYEES,EQUIPMENT,279296.86,116279.59
FISCAL YEAR 2024 CLERK OF THE HOUSE,SALARIES  OFFICERS & EMPLOYEES,SALARIES  OFFICERS & EMPLOYEES TOTALS:,2047855.7,981836.74
FISCAL YEAR 2024 CLERK OF THE HOUSE,LIMS,OTHER SERVICES,1262235.3,497522.62
FISCAL YEAR 2024 CLERK OF THE HOUSE,LIMS,EQUIPMENT,64200.05,0
FISCAL YEAR 2024 CLERK OF THE HOUSE,LIMS,LIMS TOTALS:,1326435.35,497522.62
FISCAL YEAR 2024 CLERK OF THE HOUSE,ELECTRONIC VOTING SYSTEM,SUPPLIES AND MATERIALS,35636.8,0
FISCAL YEAR 2024 CLERK OF THE HOUSE,ELECTRONIC VOTING SYSTEM,EQUIPMENT,107439.57,6829.78
FISCAL YEAR 2024 CLERK OF THE HOUSE,ELECTRONIC VOTING SYSTEM,ELECTRONIC VOTING SYSTEM TOTALS:,143076.37,6829.78
FISCAL YEAR 2024 CLERK OF THE HOUSE,HOUSE MODERNIZATION INITIATIVE,OTHER SERVICES,1131721.48,514736.65
FISCAL YEAR 2024 CLERK OF THE HOUSE,HOUSE MODERNIZATION INITIATIVE,EQUIPMENT,197.33,197.33
FISCAL YEAR 2024 CLERK OF THE HOUSE,HOUSE MODERNIZATION INITIATIVE,HOUSE MODERNIZATION INITIATIVE TOTALS:,1131918.81,514933.98
FISCAL YEAR 2024 CLERK OF THE HOUSE,EXERCISES ACTIVITY,TRAVEL,2084.73,0
FISCAL YEAR 2024 CLERK OF THE HOUSE,EXERCISES ACTIVITY,SUPPLIES AND MATERIALS,12780.74,0
FISCAL YEAR 2024 CLERK OF THE HOUSE,EXERCISES ACTIVITY,EQUIPMENT,116039.51,0
FISCAL YEAR 2024 CLERK OF THE HOUSE,EXERCISES ACTIVITY,EXERCISES ACTIVITY TOTALS:,130904.98,0
FISCAL YEAR 2024 CLERK OF THE HOUSE,EXERCISES ACTIVITY,OFFICE TOTALS:,4780191.21,2001123.12
FISCAL YEAR 2024 ACQUISITIONS,MAIL AND PACKAGE DELIVERY,RENT  COMMUNICATION  UTILITIES,55327.14,30067.69
FISCAL YEAR 2024 ACQUISITIONS,MAIL AND PACKAGE DELIVERY,OTHER SERVICES,1293704.81,555584.46
FISCAL YEAR 2024 ACQUISITIONS,MAIL AND PACKAGE DELIVERY,EQUIPMENT,32053.08,0
FISCAL YEAR 2024 ACQUISITIONS,MAIL AND PACKAGE DELIVERY,MAIL AND PACKAGE DELIVERY TOTALS:,1381085.03,585652.15
FISCAL YEAR 2024 ACQUISITIONS,DIGITAL MAIL,OTHER SERVICES,1523359.67,640724.64
FISCAL YEAR 2024 ACQUISITIONS,DIGITAL MAIL,DIGITAL MAIL TOTALS:,1523359.67,640724.64
FISCAL YEAR 2024 ACQUISITIONS,DIGITAL MAIL,OFFICE TOTALS:,2904444.7,1226376.79
FISCAL YEAR 2024 SERGEANT AT ARMS,NON - PERSONNEL,TRANSPORTATION OF THINGS,2528.83,0
FISCAL YEAR 2024 SERGEANT AT ARMS,NON - PERSONNEL,PRINTING AND REPRODUCTION,6650,6650
FISCAL YEAR 2024 SERGEANT AT ARMS,NON - PERSONNEL,OTHER SERVICES,497938.66,142899.84
FISCAL YEAR 2024 SERGEANT AT ARMS,NON - PERSONNEL,SUPPLIES AND MATERIALS,13093.39,0
FISCAL YEAR 2024 SERGEANT AT ARMS,NON - PERSONNEL,EQUIPMENT,292023.79,10507.59
FISCAL YEAR 2024 SERGEANT AT ARMS,NON - PERSONNEL,NON - PERSONNEL TOTALS:,812234.67,160057.43
FISCAL YEAR 2024 SERGEANT AT ARMS,OVERSEAS TRVL CAP POLICE REIMB,TRAVEL,382678.08,76791.28
FISCAL YEAR 2024 SERGEANT AT ARMS,OVERSEAS TRVL CAP POLICE REIMB,OTHER SERVICES,88677.38,0
FISCAL YEAR 2024 SERGEANT AT ARMS,OVERSEAS TRVL CAP POLICE REIMB,OVERSEAS TRVL CAP POLICE REIMB TOTALS:,471355.46,76791.28
FISCAL YEAR 2024 SERGEANT AT ARMS,MEMB DSTOFF SECUR ASSMNT OTH,OTHER SERVICES,2036.6,1680
